"","year","mun","trat","pto","se","value"
"1",2003,"Coahuayana",0,0,"Agriculture, forestry, fishing and hunting",168
"2",2003,"Aquila",0,0,"Agriculture, forestry, fishing and hunting",82
"3",2003,"Morelia",0,0,"Agriculture, forestry, fishing and hunting",2756
"4",2003,"Nocupetaro",0,0,"Agriculture, forestry, fishing and hunting",0
"5",2003,"Patzcuaro",1,0,"Agriculture, forestry, fishing and hunting",343
"6",2003,"Quiroga",1,0,"Agriculture, forestry, fishing and hunting",0
"7",2003,"Tacambaro",1,0,"Agriculture, forestry, fishing and hunting",1506
"8",2003,"Turicato",1,0,"Agriculture, forestry, fishing and hunting",60
"9",2003,"Zacapu",0,0,"Agriculture, forestry, fishing and hunting",480
"10",2003,"Tarimbaro",1,0,"Agriculture, forestry, fishing and hunting",369
"11",2003,"Acuitzio",1,0,"Agriculture, forestry, fishing and hunting",39
"12",2003,"Ario",1,0,"Agriculture, forestry, fishing and hunting",895
"13",2003,"Erongaricuaro",1,0,"Agriculture, forestry, fishing and hunting",0
"14",2003,"La Huacana",0,0,"Agriculture, forestry, fishing and hunting",100
"15",2003,"Huiramba",1,0,"Agriculture, forestry, fishing and hunting",0
"16",2003,"Lagunillas",1,0,"Agriculture, forestry, fishing and hunting",61
"17",2003,"Madero",1,0,"Agriculture, forestry, fishing and hunting",36
"18",2003,"Salvador Escalante",1,0,"Agriculture, forestry, fishing and hunting",656
"19",2003,"Tzintzuntzan",1,0,"Agriculture, forestry, fishing and hunting",25
"20",2003,"Angamacutiro",0,0,"Agriculture, forestry, fishing and hunting",0
"21",2003,"Jose Sixto Verduzco",0,0,"Agriculture, forestry, fishing and hunting",76
"22",2003,"Morelos",0,0,"Agriculture, forestry, fishing and hunting",0
"23",2003,"Panindicuaro",0,0,"Agriculture, forestry, fishing and hunting",0
"24",2003,"Puruandiro",0,0,"Agriculture, forestry, fishing and hunting",469
"25",2003,"Churumuco",0,0,"Agriculture, forestry, fishing and hunting",0
"26",2003,"Zinapecuaro",1,0,"Agriculture, forestry, fishing and hunting",86
"27",2003,"Querendaro",0,0,"Agriculture, forestry, fishing and hunting",60
"28",2003,"Indaparapeo",0,0,"Agriculture, forestry, fishing and hunting",0
"29",2003,"Charo",0,0,"Agriculture, forestry, fishing and hunting",0
"30",2003,"Alvaro Obregon",0,0,"Agriculture, forestry, fishing and hunting",254
"31",2003,"Coeneo",0,0,"Agriculture, forestry, fishing and hunting",0
"32",2003,"Jimenez",0,0,"Agriculture, forestry, fishing and hunting",12
"33",2003,"Huaniqueo",0,0,"Agriculture, forestry, fishing and hunting",12
"34",2003,"Caracuaro",0,0,"Agriculture, forestry, fishing and hunting",0
"35",2003,"Cuitzeo",0,0,"Agriculture, forestry, fishing and hunting",133
"36",2003,"Chucandiro",0,0,"Agriculture, forestry, fishing and hunting",0
"37",2003,"Santa Ana Maya",0,0,"Agriculture, forestry, fishing and hunting",27
"38",2003,"Huandacareo",0,0,"Agriculture, forestry, fishing and hunting",191
"39",2003,"Copandaro",0,0,"Agriculture, forestry, fishing and hunting",0
"40",2003,"Tzitzio",0,0,"Agriculture, forestry, fishing and hunting",0
"41",2003,"Apatzingan",1,0,"Agriculture, forestry, fishing and hunting",503
"42",2003,"Arteaga",0,0,"Agriculture, forestry, fishing and hunting",0
"43",2003,"Charapan",0,0,"Agriculture, forestry, fishing and hunting",12
"44",2003,"Cheran",0,0,"Agriculture, forestry, fishing and hunting",0
"45",2003,"Gabriel Zamora",0,0,"Agriculture, forestry, fishing and hunting",144
"46",2003,"Mugica",0,0,"Agriculture, forestry, fishing and hunting",51
"47",2003,"Nuevo Urecho",0,0,"Agriculture, forestry, fishing and hunting",18
"48",2003,"Paracuaro",0,0,"Agriculture, forestry, fishing and hunting",81
"49",2003,"Paracho",0,0,"Agriculture, forestry, fishing and hunting",0
"50",2003,"Taretan",1,0,"Agriculture, forestry, fishing and hunting",1697
"51",2003,"Uruapan",1,0,"Agriculture, forestry, fishing and hunting",4268
"52",2003,"Tingambato",1,0,"Agriculture, forestry, fishing and hunting",671
"53",2003,"Tepalcatepec",0,0,"Agriculture, forestry, fishing and hunting",60
"54",2003,"Buenavista",0,0,"Agriculture, forestry, fishing and hunting",105
"55",2003,"Ziracuaretiro",1,0,"Agriculture, forestry, fishing and hunting",477
"56",2003,"Nuevo Parangaricutiro",1,0,"Agriculture, forestry, fishing and hunting",1097
"57",2003,"Nahuatzen",0,0,"Agriculture, forestry, fishing and hunting",0
"58",2003,"Coalcoman",0,0,"Agriculture, forestry, fishing and hunting",0
"59",2003,"Tumbiscatio",0,0,"Agriculture, forestry, fishing and hunting",0
"60",2003,"Aguililla",0,0,"Agriculture, forestry, fishing and hunting",6
