"","year","mun","trat","pto","rs","value","q_minwages"
"1",2003,"Coahuayana",0,0,"rs_w1",181,1
"2",2003,"Aquila",0,0,"rs_w1",79,1
"3",2003,"Morelia",0,0,"rs_w1",38493,1
"4",2003,"Nocupetaro",0,0,"rs_w1",0,1
"5",2003,"Patzcuaro",1,0,"rs_w1",6335,1
"6",2003,"Quiroga",1,0,"rs_w1",1135,1
"7",2003,"Tacambaro",1,0,"rs_w1",2244,1
"8",2003,"Turicato",1,0,"rs_w1",264,1
"9",2003,"Zacapu",0,0,"rs_w1",8072,1
"10",2003,"Tarimbaro",1,0,"rs_w1",1248,1
"11",2003,"Acuitzio",1,0,"rs_w1",245,1
"12",2003,"Ario",1,0,"rs_w1",1420,1
"13",2003,"Erongaricuaro",1,0,"rs_w1",131,1
"14",2003,"La Huacana",0,0,"rs_w1",307,1
"15",2003,"Huiramba",1,0,"rs_w1",24,1
"16",2003,"Lagunillas",1,0,"rs_w1",81,1
"17",2003,"Madero",1,0,"rs_w1",407,1
"18",2003,"Salvador Escalante",1,0,"rs_w1",993,1
"19",2003,"Tzintzuntzan",1,0,"rs_w1",48,1
"20",2003,"Angamacutiro",0,0,"rs_w1",122,1
"21",2003,"Jose Sixto Verduzco",0,0,"rs_w1",108,1
"22",2003,"Morelos",0,0,"rs_w1",8,1
"23",2003,"Panindicuaro",0,0,"rs_w1",489,1
"24",2003,"Puruandiro",0,0,"rs_w1",2179,1
"25",2003,"Churumuco",0,0,"rs_w1",0,1
"26",2003,"Zinapecuaro",1,0,"rs_w1",1300,1
"27",2003,"Querendaro",0,0,"rs_w1",159,1
"28",2003,"Indaparapeo",0,0,"rs_w1",223,1
"29",2003,"Charo",0,0,"rs_w1",85,1
"30",2003,"Alvaro Obregon",0,0,"rs_w1",369,1
"31",2003,"Coeneo",0,0,"rs_w1",407,1
"32",2003,"Jimenez",0,0,"rs_w1",323,1
"33",2003,"Huaniqueo",0,0,"rs_w1",177,1
"34",2003,"Caracuaro",0,0,"rs_w1",15,1
"35",2003,"Cuitzeo",0,0,"rs_w1",462,1
"36",2003,"Chucandiro",0,0,"rs_w1",7,1
"37",2003,"Santa Ana Maya",0,0,"rs_w1",91,1
"38",2003,"Huandacareo",0,0,"rs_w1",695,1
"39",2003,"Copandaro",0,0,"rs_w1",0,1
"40",2003,"Tzitzio",0,0,"rs_w1",0,1
"41",2003,"Apatzingan",1,0,"rs_w1",6262,1
"42",2003,"Arteaga",0,0,"rs_w1",61,1
"43",2003,"Charapan",0,0,"rs_w1",21,1
"44",2003,"Cheran",0,0,"rs_w1",70,1
"45",2003,"Gabriel Zamora",0,0,"rs_w1",323,1
"46",2003,"Mugica",0,0,"rs_w1",1646,1
"47",2003,"Nuevo Urecho",0,0,"rs_w1",30,1
"48",2003,"Paracuaro",0,0,"rs_w1",192,1
"49",2003,"Paracho",0,0,"rs_w1",1043,1
"50",2003,"Taretan",1,0,"rs_w1",637,1
"51",2003,"Uruapan",1,0,"rs_w1",20792,1
"52",2003,"Tingambato",1,0,"rs_w1",195,1
"53",2003,"Tepalcatepec",0,0,"rs_w1",1381,1
"54",2003,"Buenavista",0,0,"rs_w1",651,1
"55",2003,"Ziracuaretiro",1,0,"rs_w1",370,1
"56",2003,"Nuevo Parangaricutiro",1,0,"rs_w1",876,1
"57",2003,"Nahuatzen",0,0,"rs_w1",47,1
"58",2003,"Coalcoman",0,0,"rs_w1",254,1
"59",2003,"Tumbiscatio",0,0,"rs_w1",15,1
"60",2003,"Aguililla",0,0,"rs_w1",218,1
"61",2003,"Tancitaro",1,0,"rs_w1",801,1
"62",2003,"Cotija",1,0,"rs_w1",1097,1
"63",2003,"Chilchota",1,0,"rs_w1",227,1
"64",2003,"Jacona",0,0,"rs_w1",3651,1
"65",2003,"Jiquilpan",0,0,"rs_w1",2331,1
"66",2003,"La Piedad",0,0,"rs_w1",8100,1
"67",2003,"Los Reyes",1,0,"rs_w1",5902,1
"68",2003,"Periban",1,0,"rs_w1",1823,1
"69",2003,"Sahuayo",0,0,"rs_w1",4598,1
"70",2003,"Tinguindin",1,0,"rs_w1",651,1
"71",2003,"Tocumbo",1,0,"rs_w1",954,1
"72",2003,"Venustiano Carranza",0,0,"rs_w1",390,1
"73",2003,"Zamora",0,0,"rs_w1",18609,1
"74",2003,"Penjamillo",0,0,"rs_w1",116,1
"75",2003,"Pajacuaran",0,0,"rs_w1",129,1
"76",2003,"Vista Hermosa",0,0,"rs_w1",622,1
"77",2003,"Tanhuato",0,0,"rs_w1",140,1
"78",2003,"Brisenas",0,0,"rs_w1",215,1
"79",2003,"Zinaparo",0,0,"rs_w1",0,1
"80",2003,"Churintzio",0,0,"rs_w1",272,1
"81",2003,"Numaran",0,0,"rs_w1",373,1
"82",2003,"Tangancicuaro",1,0,"rs_w1",1578,1
"83",2003,"Purepero",1,0,"rs_w1",1798,1
"84",2003,"Tlazazalca",0,0,"rs_w1",186,1
"85",2003,"Cojumatlan de Regules",0,0,"rs_w1",67,1
"86",2003,"Chavinda",0,0,"rs_w1",261,1
"87",2003,"Tangamandapio",1,0,"rs_w1",674,1
"88",2003,"Yurecuaro",0,0,"rs_w1",1218,1
"89",2003,"Ecuandureo",0,0,"rs_w1",290,1
"90",2003,"Villamar",0,0,"rs_w1",145,1
"91",2003,"Ixtlan",0,0,"rs_w1",455,1
"92",2003,"Marcos Castellanos",0,0,"rs_w1",638,1
"93",2003,"Hidalgo",1,0,"rs_w1",3458,1
"94",2003,"Jungapeo",1,0,"rs_w1",69,1
"95",2003,"Zitacuaro",1,0,"rs_w1",5680,1
"96",2003,"Angangueo",0,0,"rs_w1",230,1
"97",2003,"Tlalpujahua",0,0,"rs_w1",795,1
"98",2003,"Ocampo",1,0,"rs_w1",304,1
"99",2003,"Maravatio",0,0,"rs_w1",1627,1
"100",2003,"Contepec",0,0,"rs_w1",254,1
"101",2003,"Huetamo",0,0,"rs_w1",1337,1
"102",2003,"San Lucas",0,0,"rs_w1",216,1
"103",2003,"Irimbo",0,0,"rs_w1",195,1
"104",2003,"Aporo",0,0,"rs_w1",39,1
"105",2003,"Tuxpan",1,0,"rs_w1",675,1
"106",2003,"Senguio",0,0,"rs_w1",95,1
"107",2003,"Tiquicheo",0,0,"rs_w1",18,1
"108",2003,"Tuzantla",0,0,"rs_w1",60,1
"109",2003,"Juarez",1,0,"rs_w1",19,1
"110",2003,"Lazaro Cardenas",0,0,"rs_w1",6067,1
"111",2004,"Coahuayana",0,0,"rs_w1",77,1
"112",2004,"Aquila",0,0,"rs_w1",15,1
"113",2004,"Morelia",0,0,"rs_w1",31303,1
"114",2004,"Nocupetaro",0,0,"rs_w1",2,1
"115",2004,"Patzcuaro",1,0,"rs_w1",3689,1
"116",2004,"Quiroga",1,0,"rs_w1",992,1
"117",2004,"Tacambaro",1,0,"rs_w1",1479,1
"118",2004,"Turicato",1,0,"rs_w1",153,1
"119",2004,"Zacapu",0,0,"rs_w1",5711,1
"120",2004,"Tarimbaro",1,0,"rs_w1",1033,1
"121",2004,"Acuitzio",1,0,"rs_w1",211,1
"122",2004,"Ario",1,0,"rs_w1",1132,1
"123",2004,"Erongaricuaro",1,0,"rs_w1",73,1
"124",2004,"La Huacana",0,0,"rs_w1",224,1
"125",2004,"Huiramba",1,0,"rs_w1",22,1
"126",2004,"Lagunillas",1,0,"rs_w1",55,1
"127",2004,"Madero",1,0,"rs_w1",384,1
"128",2004,"Salvador Escalante",1,0,"rs_w1",608,1
"129",2004,"Tzintzuntzan",1,0,"rs_w1",58,1
"130",2004,"Angamacutiro",0,0,"rs_w1",57,1
"131",2004,"Jose Sixto Verduzco",0,0,"rs_w1",90,1
"132",2004,"Morelos",0,0,"rs_w1",2,1
"133",2004,"Panindicuaro",0,0,"rs_w1",279,1
"134",2004,"Puruandiro",0,0,"rs_w1",1507,1
"135",2004,"Churumuco",0,0,"rs_w1",14,1
"136",2004,"Zinapecuaro",1,0,"rs_w1",868,1
"137",2004,"Querendaro",0,0,"rs_w1",120,1
"138",2004,"Indaparapeo",0,0,"rs_w1",231,1
"139",2004,"Charo",0,0,"rs_w1",42,1
"140",2004,"Alvaro Obregon",0,0,"rs_w1",253,1
"141",2004,"Coeneo",0,0,"rs_w1",276,1
"142",2004,"Jimenez",0,0,"rs_w1",189,1
"143",2004,"Huaniqueo",0,0,"rs_w1",74,1
"144",2004,"Caracuaro",0,0,"rs_w1",23,1
"145",2004,"Cuitzeo",0,0,"rs_w1",347,1
"146",2004,"Chucandiro",0,0,"rs_w1",34,1
"147",2004,"Santa Ana Maya",0,0,"rs_w1",52,1
